id,create_time,name,message,type,link,comments,reactions,shares
136845026417486_976029045832409,2017-03-28 06:55:19,,各位朋友！今天我飛抵泰國，正與泰國創意設計中心TCDC簽署MOU！一起見證吧!,video,https://www.facebook.com/DoctorKoWJ/videos/976029045832409/,82,2369,22.0
136845026417486_975400982561882,2017-03-27 14:53:29,Photos from 柯文哲's post,"在馬來西亞的第二天，繼續舉辦Fun Taipei城市觀光宣傳活動，另一個重點是與馬來西亞的雪蘭莪州簽訂智慧城市產業、YouBike、以及創新產業交流的合作備忘錄！

雪蘭莪州致力於發展資通訊、生技、電子商務、以及智慧城市產業等，產業政策和台北相當一致。這兩年來我們做了許多努力，包含成立智慧城市專案辦公室、發展智慧公宅與智慧生態社區等專案。此外，為了支持年輕人勇敢創業，市府除了提供一站式的創業輔導服務，也持續提供多處的創業空間給新創團隊來使用。

吉隆坡是一個多元而友善的城市，不管是伊斯蘭教、印度教、佛教、基督教，彼此都融合得很好；創新的先決條件就是有這樣包容多元的文化，容許一切可能，甚至容許失敗。我一直都希望把勇於創新、不怕失敗的文化帶進台北市。只要把「害怕失敗」的自我設限拿掉，所有的創新就會開始出現。所以市府鼓勵大家追尋夢想的方式，就是讓失敗的成本變小。

藉著今天與雪州簽署合作備忘錄，未來我們不但會持續與對方交流智慧城市產業的知識、提供兩地新創團隊申請居留及設立公司的諮詢協助；我們也很樂意分享推動綠色運輸的經驗，包括台北市在推動YouBike、U-Moto 及 U-Car 整合服務的經驗。",photo,https://www.facebook.com/DoctorKoWJ/photos/a.136856586416330.19357.136845026417486/975400839228563/?type=3,88,3404,41.0
136845026417486_975290909239556,2017-03-27 12:20:16,,抱歉因當地網路環境不佳，今晚原訂大馬留台學生餐會直播取消。在此向各位粉絲致歉！,status,,113,6898,31.0
136845026417486_974138352688145,2017-03-25 23:46:32,Timeline Photos,"還沒當市長以前，我都是騎腳踏車，比較遠的行程就搭捷運、或坐計程車。進入市府以後，我發現公務車的駕駛，如果週末假日要跟我們的全部行程，當然必須比我們更早出門、更晚回家，結果常常假日上班時間比平常日更多。

嗯，打包好這次出訪的行李，天還沒亮，坐上計程車前往台北車站，準備搭乘第一班機場捷運，開始這次的東南亞市政考察吧！",photo,https://www.facebook.com/DoctorKoWJ/photos/a.136856586416330.19357.136845026417486/974138352688145/?type=3,704,40136,292.0
136845026417486_973836699384977,2017-03-25 15:10:07,Timeline Photos,"明天，我將前往馬來西亞吉隆坡、 泰國曼谷與印度德里進行市政參訪。此次除了拓展東南亞地區來台的觀光市場之外、也和當地特色產業進行交流。

觀光一直是台北市的重點產業，這次出訪希望藉著宣傳世大運，趁機提升東南亞以及穆斯林遊客來台旅遊的興趣。今年夏天世大運的舉辦，正是我們宣傳台北的最好時機。

除此之外，馬來西亞的創新創業與智慧城市發展；泰國對於文創設計的加值活化；還有印度在軟體產業的經驗，我們透過這次南向之行將一一學習、交換意見並且建立聯繫管道，做為未來推動市政的參考，讓台北成為一個更好的台北。

「台灣走出去，世界走進來，讓世界看見台灣」，這不是一句口號，是我們身體力行的目標！

（圖中與市長合影者為泰國免簽首發團台北親善大使、台泰混血選美小姐陳泰莉）",photo,https://www.facebook.com/DoctorKoWJ/photos/a.136856586416330.19357.136845026417486/973836699384977/?type=3,89,4965,41.0
136845026417486_972985619470085,2017-03-24 14:06:54,Photos from 柯文哲's post,"春天真的來了，上週末在大安森林公園，粉紅的杜鵑花伴著音樂聲，陪我們野餐。今天在陽明山竹子湖一帶，則是一片純白的海芋花。

今年的竹子湖海芋花季，市府特別發揮創意，將cosplay與海芋花做結合，除了各個農園中有到處盛開的海芋花可以欣賞，整個展區中也設置了11個動漫主題景點，市民朋友們可以在花海當中漫步、拍照。市民朋友如果在市區覺得緊張焦慮，不妨到竹子湖看海芋花看cosplay轉換成輕鬆浪漫的心情。

為了不讓大家塞車，也力行節能減碳，市府除了提供汽、機車轉乘優惠以及花季專車、休閒公車，也提供身心障礙友善交通服務。賞花，也能支持節能減碳綠運輸！

#今天我是火影忍者
#不是孫悟空  

| 2017竹子湖海芋季
日期：3/24-4/23
交通資訊懶人包： https://goo.gl/LLiI2Q
更多系列活動資訊請上官方網站：http://www.callalily.com.tw",photo,https://www.facebook.com/DoctorKoWJ/photos/a.136856586416330.19357.136845026417486/972984076136906/?type=3,143,11643,141.0
136845026417486_972010039567643,2017-03-23 10:58:09,Timeline Photos,"今天，我來到新莊體育園區，除了進行上任以來第三次的雙北合作會議、討論與雙北市民生活息息相關的各項議題，更在新北市團隊的帶領之下，視察了當地的世大運場館整備情形。

Taipei 2017 Universiade - 世大運 不是台北的世大運，而是台灣的世大運！謝謝新北市在這次賽事籌備過程中，無論在場館整建、交通疏運還有維安防災各方面都極力協助我們。新北市政府負責的6座場館都已完工，隨著賽事一天天的接近，除了北市境內所有的籌備規劃之外，台北市政府也會更密切地與新北市府團隊針對新北市轄內的場館與選手村的維安與交通詳加準備，以對當地市民干擾最小為原則，讓賽事順利進行。

世大運是一場全台灣的盛會，無論你在台灣的哪個角落，今年夏天，讓我們一起幫世大運的台灣選手加油，把榮耀留在台灣！

#2017我們一起",photo,https://www.facebook.com/DoctorKoWJ/photos/a.136856586416330.19357.136845026417486/972010039567643/?type=3,191,6071,47.0
136845026417486_971209312981049,2017-03-22 11:21:04,2017最狂社群遊戲 - 【全能古蹟燒毀王】,"【從遊戲理解文資保存】

「古蹟自燃」是指在臺灣，常常政府指定某間建築是古蹟或文化資產，當天晚上就自動燃燒，這是因為被指定為古蹟後，妨礙以後的開發，所以就有人乾脆放火把它燒了。現在有人把這個「古蹟自燃」現象做成了遊戲，在遊戲中，除了古蹟資訊視覺化的創意外，隨著劇情的發展，你可以感受到文化資產保存議題中不同立場、意見的人的想法，並用自己的想法來決定古蹟是要留下還是消失，玩完後，也可以看到過去遭受破壞的老屋的過去與現在，讓人感觸良多。 

「城市的進步不是犧牲歷史而來的，而是找出新與舊可以並存的方法。」多元發展包括怎樣讓舊時代的價值，能在新的時代中被彰顯，不斷發生的「自燃」事件，提醒我們需要找到更多兼容多元價值的文化政策。只有鎔鑄民眾對生活與未來的想像，凝聚所有人的共識，才能帶來更符合城市需求的願景。

遊戲連結
https://shaohui.simpleinfo.cc
____

遊戲製作者：圖文不符
詳細介紹請見：bit.ly/simple_info",link,https://shaohui.simpleinfo.cc/,174,3274,167.0
136845026417486_970420666393247,2017-03-21 11:52:30,,"提到士林，你會想到什麼？是文化寶庫的故宮博物院、異國風情的天母商圈、還是人聲鼎沸的士林夜市？

我一直希望能在台北市府建立一個不斷進步的企業文化，當然也希望士林區是一個可以不斷適應改變、持續進步的都市有機區域。

這兩年來，我們完成區內5座公園的改造計畫，讓孩子們可以玩得更安全；更在兒童新樂園、士林4號廣場等地建置共融式遊樂場，讓身障孩子也可以和其他小朋友一同玩樂。不僅如此，在這裡生活的長者也需要我們投注更多的心力與資源。106年，士林區的老人共餐據點將增加到41個。社會局、衛生局和聯合醫院會整合各界資源，讓長者享受共餐過程的吃飯聊天以外，還有康樂歌唱、季節性疫苗施打、行動健檢等加值服務。對於行動不便的長者，市立聯醫陽明院區也提供各種居家醫療服務。

士林再生計畫、社子島開發計畫，正在一步一步進行中。也謝謝當地朋友的寶貴建議，捷運高架軌道下方空地活用與基隆河河濱用地規劃，我們也會積極辦理。士林，正在改變中。

#宜居樂遊人文士林
#堅持理念看見改變",video,https://www.facebook.com/DoctorKoWJ/videos/970420666393247/,233,7881,191.0
136845026417486_970152696420044,2017-03-21 01:59:14,,"士林區行動市政會議，和我一起看見改變士林。

| 士林區區政報告（士林區長江慶輝）
https://goo.gl/25DB9C

| 長照專題報告（社會局長許立民）
https://goo.gl/EiADJI

| 士林再生計畫推動成果（都發局長林洲民）
https://goo.gl/EIRo7q",video,https://www.facebook.com/DoctorKoWJ/videos/970152696420044/,493,4578,98.0
