id,create_time,name,message,type,link,comments,reactions,shares
1380211668909443_1811494075781198,2017-03-27 02:47:58,,"菊元能否列古蹟，昨天我呼籲柯文哲懸崖勒馬，「勿作」文化殺手，沒想到好幾家媒體就寫「我批」、「我譏」柯p是文化殺手。

媒體真的很辣！",status,,7,153,2.0
1380211668909443_1811207552476517,2017-03-26 11:38:19,指定菊元百貨為臺北市市定古蹟，完整保留臺灣第一家現代化百貨公司菊元百貨！,"指定菊元百貨成為市定古蹟，需要您一起來讚聲！

連署網址：http://campaign.tw-npo.org/sign.php?id=20170316194025",link,http://campaign.tw-npo.org/sign.php?id=20170316194025,8,334,5.0
1380211668909443_1811129322484340,2017-03-26 07:34:47,Photos from 姚文智翻台北's post,"位於博愛路，1930年代的菊元百貨現址，是台灣史上首座百貨大樓。然而，菊元竟在上週二（21日）台北市政府文化資產審議，僅被定位為「歷史建築」。今天上午，我與文資團體重回現場，呼籲柯市府懸崖勒馬，重新賦予菊元文化古蹟「定位」。新聞稿如下：

【姚文智呼籲柯市府重啟菊元古蹟審議 勿做「文化殺手」】

台灣第一座百貨公司「菊元百貨」建築，上周二（21日）台北市文化資產審議僅賦予「歷史建築」，未給予「古蹟」身份。姚文智呼籲，「台南林百貨已成為觀光客必到的首要景點之一，柯文哲市長還有機會，不要讓古蹟化為灰燼，成為文化殺手」。
姚文智與文資團體於記者會上提出四點呼籲：

一、菊元可提報新事證重新審議，盼北市府重新召開文資審議會議；
二、若北市府不作為，依據《文化資產保存法》第110條，將要求文化部正視菊元保存案；
三、呼籲國泰成為企業典範，保留古蹟復舊再運用，可以依循大稻埕容積獎勵模式獲得彌補，且獲得社會支持，對國泰形象百利無一害；
四、呼籲市民應共同站出來連署保留，共同維護歷史的城市記憶。

姚文智與文資團體還展示未來復舊後的建築示意圖、模型甚至「菊元認同卡」，認為：菊元百貨古蹟保留是最有機會成爲「三贏」的典範，柯市府應懸崖勒馬，積極整合，活化文化資產，展現台北的城市美學。

記者會上，與會的文資團體與學者，就21日文資審查瑕疵作出說明。菊元提報人凌宗魁表示，當天大部分審議委員都認為菊元有古蹟價值，但市政府最後決議卻是歷史建築，歷史建築無強制保護力，開發單位若進行開發，菊元便不復存在。北市府審議有明顯瑕疵。

台北教育大學文化創意產業經營學系兼任助理教授蕭文杰痛斥，北市府文化局根本是「焚化局」，用會前會的方式，先找個別委員商談，外界對會前會內容無從得知，如何開放透明？再者，會議上有委員要求二次發言，卻遭市府代表阻止。最後，文化局在會議簡報中主動先提出歷史建築文字。他批評，文化局為何在會議尚未決定前就在簡報中賦予菊元定位？

文資法公民行動陣線成員林奎妙認為，菊元案審議委員皆認為可做全棟保留，但旁聽過程卻發現，文化局報告卻呈現委員都認為外觀、結構都已改變，僅能登錄歷史建築。她質疑，文化局是否刻意誤導審議委員？她期盼文化部在文資審議修法時，開放民眾意見進入審議，否則菊元將非個案。

在菊元的歷史價值上，凌宗魁認為，菊元的文資價值不只是社會史、商業史，甚至在軍事、美學藝術等各個角度都有許多故事，雖然1970年代加了一層玻璃帷幕外牆，但無損結構。

台北大學都市計劃研究所教授郭肇立則稱，自己曾拜訪1979年當年承包改建工程的建築師，該建築師親口表示，改建時不僅內部完全保存，為深怕傷害建築，因此僅在外觀加上一層薄薄的玻璃帷幕牆，如同玻璃棺內的睡美人。

淡江大學建築系副教授黃瑞茂強調，菊元的建築結構來看，從台北都市設計的角度而言，非常重要。他說，台北應將菊元作為示範，把古蹟保存擴大為城市保存，才能將文化資產與生活世界串連。建築師孫啟榕強調，國泰世華與市政府不要放棄多贏的機會，是把菊元原原本本保留，才能創造這個城市無法取代的價值。

好勁稻工作室成員郁良溎說，市府應思考都市開發與文資並存的可能性，而非偏向某一方。他批評，柯文哲過去選舉時曾說，他看到國民黨執政時文資保存的危機；也說過，城市的進步不應犧牲歷史記憶。但這兩年來，柯市府遇到開發與保存兩難時，都用喬的方式，讓社會失望。他期盼，北市府應思考，為何有這麼多民眾關心菊元的存亡，因為它代表台北市要朝向什麼樣的方向發展。

#菊元百貨 臺北市政府文化局  文化部 文化部文化資產局",photo,https://www.facebook.com/YaoTurningTaipei/photos/a.1381906295406647.1073741829.1380211668909443/1811128509151088/?type=3,21,607,55.0
1380211668909443_1810746222522650,2017-03-25 10:38:42,記錄的歷史片段,"【請柯市府懸崖勒馬!台灣第一家百貨公司，菊元當然是古蹟！】

位於現在博愛路，1930年代的菊元百貨現址，是台灣史上首座百貨大樓，它比廣受歡迎的台南林百貨古蹟還早兩天開幕。

然而，林百貨早在10年即被台南市政府列為市定古蹟，但菊元直竟在上週二（21日）台北市政府文化資產審議，僅被定位為「歷史建築」身分。

不容置疑的文資條件，讓我不禁要問，是什麼樣的原因？為何「台灣第一家百貨」不是古蹟，然後都更改建幾無設限？

明天上午，我將與文資團體重回現場，呼籲柯市府懸崖勒馬，重新賦予菊元文化古蹟的「定位」。

特別感謝凌宗魁等文史工作者，四處尋訪當年台北街頭的蛛絲馬跡，讓我們看看，85年前台北館前路與菊元四周號稱「台北銀座」的歷史影像吧！",video,https://www.facebook.com/1466652790282369/videos/1561200360827611/,6,202,
1380211668909443_1810347015895904,2017-03-24 12:20:36,The g0v News,當精通網路語言，生活在網路世界的年輕黑客（Hacker），成為公務員進入政府體制，或投身政治工作，能帶給國家政治體制何種影響？網路公民參政組織g0v零時政府，製作了一系列專題，告訴我們，這些政府生力軍，如何用一己之力革新體制。也歡迎大家一起來看看，你我可以做些什麼。,photo,https://www.facebook.com/g0v.news/photos/a.1828658530736759.1073741828.1821095334826412/1880744428861502/?type=3,0,49,
1380211668909443_1810226335907972,2017-03-24 03:55:47,姚文智／大台北都更：30兆的故事！ | 雲論,"為了實現都市再生的願景，我將在近期內提出「都市再生特別條例」的法案。此法案參照日本都市再生特別措置法，由政府主導，指定策略地區，進行實施規劃後再委託民間執行。這其中必須配合設置國家級住宅及都市更新中心來統籌所有的工作，因此，此中心的設置條例，我也會全力推動，希望危老條例、都市再生特別條例、國家住宅及都更中心，再加上既有的都市更新法部份條文的修正，讓所有的法制一次到位，政策能順利推展。

當然，110萬戶的改建不是1年、5年可以完成，讓我們把時間拉長為20-30年，在政府主導下，每一年可創造上兆的產值，如果以去年國民生產毛額17兆來計算，完成國發會設定GDP成長3%的目標，不是難事。

#都市更新 #內政部 #都市危險及老舊建築物加速重建獎勵條例
#都市再生特別條例",link,http://www.ettoday.net/news/20170324/891088.htm?feature=todaysforum&tab_id=268,13,142,10.0
1380211668909443_1809845912612681,2017-03-23 07:15:11,姚文智：民進黨拒九二共識 就是兩岸發展最好的監督 | 要聞 | 即時,"國民黨連排兩日「兩岸協議監督條例」審查，爭執了一日，今仍在要不要聯席審查上打轉。我認為，國民黨此刻排案「根本只是一場秀」，事實上，衡量目前政治情勢，「拒絕接受九二共識，就是對兩岸發展最好的監督。」

我必須說，民進黨無意阻擋，但國民黨的排案秀，對國家發展與國計民生毫無意義。我呼籲，國民黨其實不用緊張，未來若改由聯席會審查，也可能是曾銘宗繼續當召委，甚是下周由我排案亦可。

林為洲諷刺我們「海水退了才知道誰沒穿褲子。」我坦白說，是你們「國民黨從頭到尾沒有穿褲子，從馬英九執政開始就沒有穿褲子，大家昭然若揭，不會因為國民黨現在排了案，就會改變，不要在此義正辭嚴。」

過去監督條例如此迫切之因，乃是因為國民黨領「一中通行證」，在兩岸間開直通車，讓學生緊張，才會衝入立法院導致學運，但民進黨沒有接受一中原則，處理監督條例不必太急。",link,https://udn.com/news/story/1/2359624,8,215,3.0
1380211668909443_1808893196041286,2017-03-21 10:26:28,,"三位離島立委質詢遷移松山機場將使居民就醫權益受損，用心良苦，但林全院長的回答，真讓人不敢恭維，我開始對他打了個大大的問號。

行政院應誠實面對離島偏鄉的問題，在分秒必爭搶救人命之下，徹底建立離島偏鄉完善的醫療系統及後送機制。時值政府大力推動前瞻基礎建設，應將此問題納入計畫、編列充足經費，而非用最廉價的方式，將松機遷移問題與離島居民醫療權問題綁在一起，迴避解決問題的責任。

我要呼籲院長，面對松機遷移如此慎重的議題，不應輕率回覆「沒有政策要思考松山機場遷建」！難道民間的呼籲、民進黨政策會的研究、還有我在立院多次的質詢，院長全當作耳邊風，才如此輕率地回覆沒有思考松山機場遷建問題？如果真的沒做過政策「思考」，又何來「國家安全」等考量，豈非自打嘴巴？如此發言不但將交通部即將進行的專業評估未審先判，抹滅部會專業！

松機併入桃機，當然並非今天說明天就能完成，而是經過一連串的規劃，逐步進行完成，我也同意整合機場的同時，對於離島居民的醫療後送、交通運輸、觀光旅遊當然會做出最有利的配套措施，三位委員和離島居民們大可放心！

#松山機場、#前瞻基礎建設",status,,15,119,3.0
1380211668909443_1808476012749671,2017-03-20 12:08:28,Photos from 姚文智翻台北's post,"可能許多人到台南玩時，會到台南的林百貨逛逛。但可能有非常多人不知道，台北市有間與林百貨齊名的日治時代百貨古蹟－菊元百貨。

菊元百貨現址位於博愛路152號，目前用作銀行商業大樓，但，它其實是台灣400年史上首家百貨公司，比台南林百貨還早兩天開幕（1932年12月3日），與林百貨堪稱為台灣日本時期南北兩大百貨，見證台北日治時代的經濟榮景。

林百貨在1998年列為台南市市定古蹟後，於2014年6月14日再度以文創百貨之姿開放經營。然而，菊元百貨僅在2014年7月才開始被北市府文化局列冊追蹤，去年5月23日才開始進行文資身分會勘，9月23日首次進行文資審查，但未能確認文資身分。

明天，台北市文化資產審議委員會即將召開第二次文資審查會議，對菊元百貨文資價值再確定。我希望專業的評估，有機會讓菊元百貨成為市定古蹟，未來保存修復可以重見天日，而業主可以得到容積的獎勵或回饋，皆大歡喜！

【指定菊元百貨為臺北市市定古蹟，完整保留臺灣第一家現代化百貨公司菊元百貨】
連署網站：http://campaign.tw-npo.org/sign.php?id=20170316194025",photo,https://www.facebook.com/YaoTurningTaipei/photos/a.1381906295406647.1073741829.1380211668909443/1808475932749679/?type=3,10,185,9.0
1380211668909443_1806624032934869,2017-03-16 13:03:54,立法院 議事轉播 網際網路多媒體隨選視訊(ivod)系統,"跟我年紀相仿的朋友們，應該都看過一些文學名著、翻譯小說，例如但丁的《神曲》、托爾斯泰的《安娜．卡列尼娜》，陪我們度過苦悶的歲月。但許多人可能不知，歌德名著《浮士德》當年被警總《禁書目錄》列名禁書，即因譯者是國共內戰選擇留在中國的民初知識分子郭沫若。

在過去言論出版緊縮，甚至連柯旗化《新英文法》都是禁書的年代，蔣介石政權對像郭沫若這樣還留在「匪區」，被認定共匪或「已附匪」的作家及譯者一律封殺；1959年後政策鬆綁，卻仍是將姓名省略或「重新變造」。

根據師大翻譯所賴慈芸教授等人研究，目前已確定有近1500種著作與翻譯作品，遭受牽連。其中，名字遭塗改的大陸譯者超過380人，被抄襲譯本超過600本。

為此，我呼籲，教育部作為圖書館主管機關，應成立專案小組，盡速清查各級圖書館館藏中，過去威權時代出版的作者與譯名真偽，還原原始姓名。清查後更正，在書目或原書加註，替這些因大時代無辜受牽連的作／譯者，討回公道。

http://ivod.ly.gov.tw/Play/VOD/96337/1M/N",link,http://ivod.ly.gov.tw/Play/VOD/96337/1M/N,3,120,3.0
