id,create_time,name,message,type,link,comments,reactions,shares
232633627068_10155733098277069,2017-03-28 09:30:00,雙線道迴轉要幾次　這位叫他「七次郎」,"人都有新手時期咩，只要沒違規大家就用關愛的眼神守護他吧～ #宅編
　　
【完整 #動新聞】雙線道迴轉要幾次　這位叫他「七次郎」
http://www.appledaily.com.tw/actionnews/appledaily/5/20170327/1085157/
　
【圖文報導】
http://www.appledaily.com.tw/realtimenews/article/local/20170327/1085157/
　
#迴轉 #爆廢公社 #開車",video,https://www.facebook.com/appledaily.tw/videos/10155733098277069/,6,103,6.0
232633627068_10155733372007069,2017-03-28 09:19:45,韓職挖角艾迪頓中信放人　價碼高出台灣近10倍,"樂天巨人價碼高出台灣近10倍挖角 😲😲😲
　
Passion Sisters 中信兄弟啦啦隊 #中信兄弟 #艾迪頓 #洋投 #挖角 #CPBL CPBL 中華職棒
🐃在家養牛能成真 https://goo.gl/ovKwrA",link,http://www.appledaily.com.tw/realtimenews/article/sports/20170328/1086190/,13,504,
232633627068_10155732974992069,2017-03-28 09:10:00,【三代同堂】邱淑貞閃刷一咖LV箱　15歲正翻愛女噴孝心,"唉呀岳母您怎麼沒叫小婿去拿包呢>///< #宅編
　　
完整 #動新聞【三代同堂】邱淑貞閃刷一咖LV箱　15歲正翻愛女噴孝心
http://ent.appledaily.com.tw/actionnews/index/20170327/1085100/0
　
【圖文報導】
http://ent.appledaily.com.tw/realtimenews/article/entertainment/20170327/1085100/
　
#邱淑貞 #沈月 #沈日",video,https://www.facebook.com/appledaily.tw/videos/10155732974992069/,11,433,5.0
232633627068_10155730506002069,2017-03-28 09:00:00,蘋果精選影片-鬼之切入,"你以為是拓海逆？最高只能給87分~不能再低惹 #皮編 😲😲😲
　
#蘋果精選影片 #鬼之切入 #影片 #休旅車 #爆料公社 #國道",video,https://www.facebook.com/appledaily.tw/videos/10155730506002069/,101,1284,54.0
232633627068_10155733324232069,2017-03-28 08:49:28,9張圖看懂　馬英九遭告洩密為何無罪,"為何無罪？９張圖告訴你
　
【#火線話題】馬英九洩密案無罪
https://goo.gl/VhE8H5
　
#馬英九 #洩密案 #無罪 
🐃在家養牛能成真 https://goo.gl/ovKwrA",link,http://www.appledaily.com.tw/realtimenews/article/politics/20170328/1086099/,36,199,4.0
232633627068_10155732758112069,2017-03-28 08:40:00,屁孩闖遶境隊伍嗆標哥　「預約海景第一排」,"謝謝你，用生命守護台灣的海岸（合掌）#讓我們懷著感恩的心情分享出去
　　
【屁孩闖遶境隊伍嗆標哥　「預約海景第一排」】
http://www.appledaily.com.tw/realtimenews/article/local/20170325/1084249/
　
#媽寶 #海景第一排 #媽祖遶境 #遶境 #大甲媽 #顏清標 #蘋果精選影片",video,https://www.facebook.com/appledaily.tw/videos/10155732758112069/,130,1157,61.0
232633627068_10155733296597069,2017-03-28 08:28:57,馬英九教唆洩密案無罪　馬辦：感謝法官適法適當判決,"#最新 
　
【相關】馬英九教唆洩密無罪　柯建銘：大悲無淚上訴到底
http://www.appledaily.com.tw/realtimenews/article/politics/20170328/1086200/
　
【相關】馬英九獲判無罪　民進黨：不掩蓋干涉司法事實
http://www.appledaily.com.tw/realtimenews/article/politics/20170328/1086152/
　
【#火線話題】馬英九洩密案無罪
https://goo.gl/VhE8H5
　
#馬英九 #洩密案 #無罪 #馬辦 馬英九
🐃在家養牛能成真 https://goo.gl/ovKwrA",link,http://www.appledaily.com.tw/realtimenews/article/politics/20170328/1086195/,41,337,2.0
232633627068_10155733265932069,2017-03-28 08:20:00,台灣千金出家十年　為愛還俗賣茶,"能想開，能幫助人到人，出家並不是重點
　
#國際 #千金 #出家 #還俗
🐃在家養牛能成真 https://goo.gl/ovKwrA",link,http://www.appledaily.com.tw/realtimenews/article/international/20170328/1085755/,22,654,14.0
232633627068_10155732833852069,2017-03-28 08:10:00,【獨家抓猴片】蔡閨易容跟監　驚撞黑老大嘿咻,"「我易容但忘記變聲，那位大哥認出我是蔡閨，他正在做那件事，還叫我們不要看，很尷尬」 哈哈哈哈哈哈哈，忘記變聲XDD  #宅編
　　
完整 #動新聞【獨家抓猴片】蔡閨易容跟監　驚撞黑老大嘿咻
http://ent.appledaily.com.tw/actionnews/index/20170327/1084816/0
　
【圖文報導】
http://ent.appledaily.com.tw/realtimenews/article/entertainment/20170327/1084816/
　
#蔡閨 #徵信社 #抓猴 #蘋果動畫",video,https://www.facebook.com/appledaily.tw/videos/10155732833852069/,9,274,5.0
232633627068_10155733254897069,2017-03-28 08:04:16,吃喝玩樂蘋果花,"#直播結束【男人怕早衰？直擊精子活跳跳的奧祕】
　
《蘋果》副刊帶你獨家直擊北醫生殖醫學中心，想看「取精室」長啥樣？想知道實驗室怎麼檢查精子活性嗎？專業、知性又趣味十足，讓你長知識又有見識！
　
#台北醫學大學附設醫院 #林時羽醫師試管嬰兒不孕症生殖醫學 #FHM",video,https://www.facebook.com/apple.supplement/videos/1102267916585317/,8,118,
232633627068_10155732807187069,2017-03-28 07:50:03,【動畫】兩車輾過致半癱　痛苦男要媽媽「放棄吧」,"他用微小的力氣在小黑板寫上：「媽媽放棄吧，沒有錢」
　　
完整 #動新聞【動畫】兩車輾過致半癱　痛苦男要媽媽「放棄吧」
http://www.appledaily.com.tw/actionnews/appledaily/7/20170327/1085142/
　
【圖文報導】
http://www.appledaily.com.tw/realtimenews/article/international/20170327/1085142/
　
#半癱 #車禍 #蘋果動畫",video,https://www.facebook.com/appledaily.tw/videos/10155732807187069/,14,350,8.0
232633627068_10155733202947069,2017-03-28 07:40:26,馬英九洩密獲判無罪　卻還有6大案等著他,"除了洩密案，另外還有貓纜等六案 #最新
　
【#火線話題】馬英九洩密案無罪
https://goo.gl/VhE8H5 
　
#馬英九 #特偵組 馬英九 #洩密案 #北檢",link,http://www.appledaily.com.tw/realtimenews/article/local/20170328/1086008,60,545,8.0
232633627068_10155732921232069,2017-03-28 07:30:00,【惡劣】約女夜遊求愛不成　渣男竟丟包摔人,"「打蚊子時不小心摸到對方胸部，沒有猥褻」這裡由太幽默，特別 highlight給大家看 #宅編
　　
完整 #動新聞【惡劣】約女夜遊求愛不成　渣男竟丟包摔人
http://www.appledaily.com.tw/actionnews/appledaily/5/20170328/1085539/
　
【圖文報導】
http://www.appledaily.com.tw/realtimenews/article/local/20170328/1085539/
　
#夜遊 #丟包 #蘋果動畫",video,https://www.facebook.com/appledaily.tw/videos/10155732921232069/,16,282,4.0
232633627068_10155733186237069,2017-03-28 07:22:06,沉沒大海3年　韓「世越號」撈出後發現罹難者遺體,"三年後終於 😢 #最新
　
#世越號 #南韓 #세월호",link,http://www.appledaily.com.tw/realtimenews/article/international/20170328/1086094/,36,2701,76.0
232633627068_10155733165927069,2017-03-28 07:08:24,【關鍵88秒】馬英九無罪理由　無法證明這通電話要求黃世銘洩密 | 即時新聞 | 20170328 | 蘋果日報,"！！！#最新
　
【#火線話題】馬英九洩密案無罪
https://goo.gl/VhE8H5 
　
#馬英九 #特偵組 #洩密 #柯建銘 馬英九 柯建銘",link,http://www.appledaily.com.tw/realtimenews/article/local/20170328/1085269,198,955,198.0
232633627068_10155733138982069,2017-03-28 07:00:25,男排衝突神展開！推擠後下一秒　突然深情一吻,"喂～要不要這麼浪漫 XD #天編
　
#日本排球聯賽 #山本湧 #高松卓矢 #明星賽 #我倆惺惺相惜情不自禁 #YuYamamoto #TakuyaTakamatsu
🐄 在家養牛能成真 https://goo.gl/ovKwrA",link,http://www.appledaily.com.tw/realtimenews/article/sports/20170328/1086007/,250,6878,300.0
232633627068_10155732794237069,2017-03-28 06:50:00,大眼爆乳「不值花7千」　先被打槍後被逮,"想看價值7000的""照騙""... #宅編
　　
【完整 #動新聞】大眼爆乳「不值花7千」　先被打槍後被逮
http://www.appledaily.com.tw/actionnews/appledaily/5/20170327/1085222/
　
【圖文報導】
http://www.appledaily.com.tw/realtimenews/article/local/20170327/1085222/
　
#應召女 #打槍 #照騙 #蘋果動畫",video,https://www.facebook.com/appledaily.tw/videos/10155732794237069/,13,326,3.0
232633627068_10155733027562069,2017-03-28 06:40:00,豬哥亮和賀一航同癌不同命　胡瓜「被家務事煩心」,"什麼都比不過身體健康啊 (嘆) #天編
　
#豬哥亮 #賀一航 #胡瓜 豬哥亮 胡瓜
🐄 在家養牛能成真 https://goo.gl/ovKwrA",link,http://ent.appledaily.com.tw/realtimenews/article/entertainment/20170328/1085981,8,372,2.0
232633627068_10155733124207069,2017-03-28 06:35:02,吃喝玩樂蘋果花,"【直播結束】科教館新展覽好可愛，#直播 快來看
　
#科教館 #展覽 #便便展",video,https://www.facebook.com/apple.supplement/videos/1102215729923869/,11,136,
232633627068_10155733120517069,2017-03-28 06:31:57,台大原評估豬哥亮至少還有1年　這原因讓他突病危,"現在六個月就傳病危 #最新
　
#豬哥亮 #台大",link,http://www.appledaily.com.tw/realtimenews/article/life/20170328/1086061,42,2545,28.0
232633627068_10155733060462069,2017-03-28 06:22:40,少婦給店員的咖啡附字條　網友高潮翻譯,"好想知道後續喔 😂😂 #天編
　
#紙條 #店員 #爆廢公社 爆廢公社
🐄 在家養牛能成真 https://goo.gl/ovKwrA",link,http://www.appledaily.com.tw/realtimenews/article/life/20170328/1085979,56,1052,22.0
232633627068_10155733084717069,2017-03-28 06:08:04,埔心牧場餵馬親子遊　前購物專家兒子被咬斷指,"醫師說斷指被馬咬掉回來是不可能，把斷指跟肚子縫在一起，希望讓斷指長出原本長度...😵 #最新
　
#桃園 味全埔心牧場 #馬 #意外",link,http://www.appledaily.com.tw/realtimenews/article/local/20170328/1086000,225,1410,228.0
232633627068_10155733064697069,2017-03-28 05:59:15,吃喝玩樂蘋果花,"【直播結束】母親節蛋糕評比part 2 來啦！ 吃喝玩樂蘋果花 現正 #直播 中
　
#蛋糕 #母親節 #評比",video,https://www.facebook.com/apple.supplement/videos/1102199896592119/,4,158,
232633627068_10155732994542069,2017-03-28 05:35:05,【獨家內幕】謝金燕守病房3天3夜　豬哥亮終於見到19歲寶貝孫,"Q__Q #最新
　
#獨家 #豬哥亮 #謝金燕 豬哥亮",link,http://ent.appledaily.com.tw/realtimenews/article/entertainment/20170328/1085994,42,4238,34.0
232633627068_10155732845322069,2017-03-28 05:30:00,【祕密客】80元滷肉飯　想吃未必點得到,"這個份量 #宅編 要吃10碗才會飽 orz
　　
完整 #動新聞【祕密客】80元滷肉飯　想吃未必點得到
http://www.appledaily.com.tw/actionnews/appledaily/sub/20170328/1085682/
　
【圖文報導】
http://www.appledaily.com.tw/realtimenews/article/strange/20170328/1085682/
　
#祕密客 #滷肉飯 #美食 #台北 #排隊美食",video,https://www.facebook.com/appledaily.tw/videos/10155732845322069/,90,894,22.0
232633627068_10155732942937069,2017-03-28 05:21:02,【把你廢了片】員工被打　霸氣老闆做這2件事護他,"wow 太帥氣了！！#天編
　
#格力 #董明珠 #員工
🐄 在家養牛能成真 https://goo.gl/ovKwrA",link,http://www.appledaily.com.tw/realtimenews/article/finance/20170328/1085712,28,851,34.0
232633627068_10155732904732069,2017-03-28 05:11:40,【恐怖】記仇20年　他5小時連續放火燒4同學家,"隔了20年還在氣...囧
　
#台中",link,http://www.appledaily.com.tw/realtimenews/article/local/20170328/1085867,866,11483,1523.0
232633627068_10155732851212069,2017-03-28 05:00:00,「台灣國護照」闖日成功　女鄉民現身Ptt,"本尊現身啦！！！
　
【中國官媒po照片：台女持「台灣國」護照　在日闖關成功】
http://www.appledaily.com.tw/realtimenews/article/international/20170327/1085610/
　
#台灣國 #護照 #批踢踢 批踢踢實業坊(Ptt.cc) #鄉民
🐄 在家養牛能成真 https://goo.gl/ovKwrA",link,http://www.appledaily.com.tw/realtimenews/article/politics/20170328/1085920/,301,2156,24.0
232633627068_10155732773187069,2017-03-28 04:50:00,,"四大天王終於等到你！！ #宅編
　　
完整 #動新聞【撒花】郭富城下月中娶網紅爆雙喜　準老婆傳懷孕2個月
http://ent.appledaily.com.tw/actionnews/index/20170327/1085462/0
　
【圖文報導】
http://ent.appledaily.com.tw/realtimenews/article/entertainment/20170327/1085462/
　
#郭富城 #方媛 #城城",video,https://www.facebook.com/appledaily.tw/videos/10155732773187069/,10,633,5.0
