status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
1021581417961885_1231718840281474,趕稿中，明天晚上見喔,68.media.tumblr.com,link,https://www.facebook.com/1021581417961885/posts/1231718840281474,2017-03-25 17:12:34,10419,366,73,8516,46,62,957,23,815
1021581417961885_1230806240372734,"糟糕 以後要說94bb惹 #狂阿編

提名投稿狂新聞>> https://goo.gl/lrVe2h",鄉民小心了！法院認證「87」是公然侮辱 - 生活 - 自由時報電子報｜卡提諾狂新聞,link,https://www.facebook.com/1021581417961885/posts/1230806240372734,2017-03-24 21:42:19,12024,752,1184,8924,22,960,2021,36,61
1021581417961885_1230710647048960,禮拜一就要來抽獎囉！趕快分享不然掰掰,卡提諾狂新聞,video,https://www.facebook.com/1021581417961885/posts/1230710647048960,2017-03-24 19:43:14,2261,632,0,2161,19,9,70,2,0
1021581417961885_1230681773718514,"殺得你措手不及 #狂阿編

提名投稿狂新聞>> https://goo.gl/lrVe2h",三寶的逆襲｜卡提諾狂新聞,link,https://www.facebook.com/1021581417961885/posts/1230681773718514,2017-03-24 18:59:00,4327,141,156,3637,10,334,300,11,35
1021581417961885_1229765993810092,"百戰百勝 嘿嘿嘿！ #狂阿編

提名投稿狂新聞>> https://goo.gl/lrVe2h",嚇到褲底ㄧ包｜卡提諾狂新聞,link,https://www.facebook.com/1021581417961885/posts/1229765993810092,2017-03-23 21:27:45,2439,73,34,2024,5,90,29,2,289
1021581417961885_1229316033855088,"何不食肉糜？ #狂阿編

提名投稿狂新聞>> https://goo.gl/lrVe2h",4週彈性工時可連上24天 林美珠:不能說是血汗│中視新聞 20170323,link,https://www.facebook.com/1021581417961885/posts/1229316033855088,2017-03-23 11:31:00,6778,502,438,4489,12,136,589,36,1516
1021581417961885_1228690150584343,小編下班回家收到一封信，內容我就不說了....,Timeline Photos,photo,https://www.facebook.com/1021581417961885/posts/1228690150584343,2017-03-22 22:48:18,19613,1034,56,15364,35,645,3352,140,77
1021581417961885_1228337190619639,"【狂抽猛送】第六集 「LINE旅遊大亨」

沒有最狂只有更狂，這次狂抽猛送直接他媽帶你出國啦!!!

● 前10000名留言有特殊抽獎資格！
* 想成為富翁不用作夢，玩旅遊大亨就可以
* 按讚分享留言就有機會，不用在辛苦收集什麼瓶蓋還是截角
* 還加贈50組狂新聞貼圖
* 【女粉專屬】這次限定獎品你一定超想要
* 6張機票直接飛到你嫑嫑的
* 蝦仁頸枕讓你一瞬間成為全場焦點
* 輕輕鬆鬆獎項都超過110個人人有機會
* 行李箱跟旅行組都幫你準備好了還在等什麼
* 最狂的抽獎影片，獎品別說你不愛
* 背負著你們的期望跟老闆的絕望
* 按讚留言+分享才具有抽獎資格

***********複製留言的保證抽不到***********
　
*[ 複製長篇貼文的留言抽到一律喪失資格 ]
　
抽獎方式：留言並【公開】分享 
得獎公布日期:日後公布

旅遊大亨這裡下載→https://lin.ee/3hH92gL
一秒鐘幾千萬上下的感覺玩了你就知道　

#卡提諾狂新聞 #狂抽猛送",【狂抽猛送】第六集 「LINE 旅遊大亨」,video,https://www.facebook.com/1021581417961885/posts/1228337190619639,2017-03-22 19:00:00,27844,29618,31875,26944,103,150,637,4,6
1021581417961885_1228223280631030,"來 這鍋誰扛？ #狂阿編

提名投稿狂新聞>> https://goo.gl/lrVe2h",委員又講實話了｜卡提諾狂新聞,link,https://www.facebook.com/1021581417961885/posts/1228223280631030,2017-03-22 12:00:00,10829,450,280,8820,22,102,1851,2,32
1021581417961885_1228173080636050,"晚上7點發佈【第6集狂抽猛送】
　
一樣保留部分獎項給前一萬樓留言
而且這一集第一次要抽多張機票唷
這集的獎品高達一百項記得準時來

　
別再他媽的複製留言了。",Timeline Photos,photo,https://www.facebook.com/1021581417961885/posts/1228173080636050,2017-03-22 10:41:37,2742,699,182,2591,21,16,111,1,2
